census_tract,from,to,ratio_from,ratio_to
17031360200,6.0,0.0,3.201369332375768e-07,0.0
17031380100,3.0,0.0,1.600684666187884e-07,0.0
17031380200,5.0,1.0,2.667807776979807e-07,5.877233525056527e-08
17031380700,3.0,0.0,1.600684666187884e-07,0.0
17031381200,5.0,0.0,2.667807776979807e-07,0.0
17031381400,4.0,0.0,2.1342462215838455e-07,0.0
17031390100,13.0,0.0,6.936300220147498e-07,0.0
17031390200,8.0,0.0,4.268492443167691e-07,0.0
17031390300,6.0,0.0,3.201369332375768e-07,0.0
17031390400,31.0,2.0,1.6540408217274803e-06,1.1754467050113054e-07
17031390500,28.0,1.0,1.493972355108692e-06,5.877233525056527e-08
17031390600,93.0,10.0,4.962122465182441e-06,5.877233525056527e-07
17031390700,3492.0,4298.0,0.0001863196951442697,0.00025260349690692956
17031400300,2.0,0.0,1.0671231107919227e-07,0.0
17031400800,1.0,0.0,5.3356155539596136e-08,0.0
17031410100,181.0,105.0,9.657464152666901e-06,6.171095201309353e-06
17031410200,12.0,4.0,6.402738664751536e-07,2.350893410022611e-07
17031410500,51.0,1.0,2.721163932519403e-06,5.877233525056527e-08
17031410600,72.0,5.0,3.841643198850922e-06,2.9386167625282637e-07
17031410700,104.0,8.0,5.549040176117998e-06,4.701786820045222e-07
17031410800,1292.0,485.0,6.89361529571582e-05,2.8504582596524158e-05
17031410900,601.0,660.0,3.2067049479297277e-05,3.878974126537308e-05
17031411000,20232.0,18010.0,0.001079501738877109,0.0010584897578626805
17031411100,201.0,21.0,1.0724587263458824e-05,1.2342190402618706e-06
17031411200,3603.0,398.0,0.0001922422284091649,2.339138942972498e-05
17031420100,74.0,12.0,3.948355509930114e-06,7.052680230067832e-07
17031420200,4.0,0.0,2.1342462215838455e-07,0.0
17031420300,25.0,15.0,1.3339038884899035e-06,8.815850287584791e-07
17031420400,42.0,1.0,2.2409585326630376e-06,5.877233525056527e-08
17031420500,2.0,3.0,1.0671231107919227e-07,1.763170057516958e-07
17031420600,2.0,0.0,1.0671231107919227e-07,0.0
17031420800,2.0,0.0,1.0671231107919227e-07,0.0
17031430101,0.0,2.0,0.0,1.1754467050113054e-07
17031430102,28.0,0.0,1.493972355108692e-06,0.0
17031430200,6.0,1.0,3.201369332375768e-07,5.877233525056527e-08
17031430300,7.0,0.0,3.73493088777173e-07,0.0
17031430500,1.0,1.0,5.3356155539596136e-08,5.877233525056527e-08
17031430600,5.0,0.0,2.667807776979807e-07,0.0
17031430700,6.0,0.0,3.201369332375768e-07,0.0
17031431302,3.0,0.0,1.600684666187884e-07,0.0
17031431400,5.0,0.0,2.667807776979807e-07,0.0
17031440102,2.0,0.0,1.0671231107919227e-07,0.0
17031440201,2.0,1.0,1.0671231107919227e-07,5.877233525056527e-08
17031440300,2.0,0.0,1.0671231107919227e-07,0.0
17031440600,1.0,0.0,5.3356155539596136e-08,0.0
17031460100,2.0,0.0,1.0671231107919227e-07,0.0
17031460302,1.0,0.0,5.3356155539596136e-08,0.0
17031460400,1.0,0.0,5.3356155539596136e-08,0.0
17031460500,1.0,0.0,5.3356155539596136e-08,0.0
17031480100,1.0,0.0,5.3356155539596136e-08,0.0
17031480400,3.0,1.0,1.600684666187884e-07,5.877233525056527e-08
17031490500,3.0,0.0,1.600684666187884e-07,0.0
17031490800,2.0,0.0,1.0671231107919227e-07,0.0
17031490902,0.0,2.0,0.0,1.1754467050113054e-07
17031491400,1.0,0.0,5.3356155539596136e-08,0.0
17031510300,1.0,0.0,5.3356155539596136e-08,0.0
17031530400,0.0,1.0,0.0,5.877233525056527e-08
